organization,repository_name,clone_url,number_stars,number_commits,number_contributors,main_language,main_language_%_code,is_fork,created_year_date,pushed_date
kde, kwin, https://github.com/KDE/kwin.git,335,22506,322, C++,94.2, false,1999-12-30,2022-05-20
kde, libkscreen, https://github.com/KDE/libkscreen.git,9,1627,43, C++,96.1, false,2011-12-24,2022-05-20
kde, plasma-mobile, https://github.com/KDE/plasma-mobile.git,107,1784,64, QML,73.9, false,2014-12-17,2022-05-20
kde, plasma-workspace, https://github.com/KDE/plasma-workspace.git,167,11813,253, C++,76.2, false,2013-12-24,2022-05-20
kde, craft-blueprints-kde, https://github.com/KDE/craft-blueprints-kde.git,13,4140,70, Python,99.8, false,2017-12-23,2022-05-20
kde, audiotube, https://github.com/KDE/audiotube.git,7,249,10, C++,73.2, false,2021-05-22,2022-05-16
kde, kalendar, https://github.com/KDE/kalendar.git,50,833,20, QML,58.9, false,2021-06-18,2022-05-20
kde, rkward, https://github.com/KDE/rkward.git,9,6599,12, C++,71.4, false,2002-11-19,2022-05-20
kde, kio, https://github.com/KDE/kio.git,51,5472,244, C++,97.5, false,2004-12-29,2022-05-20
kde, kdenlive, https://github.com/KDE/kdenlive.git,1500,16087,102, C++,92.4, false,2007-12-31,2022-05-20
kde, calligra, https://github.com/KDE/calligra.git,125,101655,263, C++,86.7, false,1998-12-30,2022-05-20
kde, vvave, https://github.com/KDE/vvave.git,51,1070,14, C++,61, false,2017-12-29,2022-05-20
kde, index-fm, https://github.com/KDE/index-fm.git,12,1013,16, QML,69.4, false,2018-12-24,2022-05-20
kde, mauikit, https://github.com/KDE/mauikit.git,16,2431,14, QML,59, false,2018-12-28,2022-05-20
kde, systemsettings, https://github.com/KDE/systemsettings.git,27,2659,103, C++,84.8, false,2005-12-17,2022-05-19
kde, qqc2-desktop-style, https://github.com/KDE/qqc2-desktop-style.git,65,602,44, QML,55.4, false,2016-11-30,2022-05-20
kde, krunner, https://github.com/KDE/krunner.git,56,753,39, C++,90.6, false,2014-12-31,2022-05-15
kde, plasma-desktop, https://github.com/KDE/plasma-desktop.git,503,9276,211, C++,52.5, false,2009-12-30,2022-05-20
kde, kstars, https://github.com/KDE/kstars.git,161,13102,160, C++,87.7, false,2002-12-30,2022-05-20
kde, kcoreaddons, https://github.com/KDE/kcoreaddons.git,17,1484,86, C++,96.7, false,2013-12-31,2022-05-20
kde, kleopatra, https://github.com/KDE/kleopatra.git,52,6490,77, C++,97.5, false,2002-11-29,2022-05-20
kde, ark, https://github.com/KDE/ark.git,52,4739,113, C++,86.6, false,1997-12-31,2022-05-20
kde, extra-cmake-modules, https://github.com/KDE/extra-cmake-modules.git,98,3481,183, CMake,83.4, false,2006-12-31,2022-05-14
kde, pim-data-exporter, https://github.com/KDE/pim-data-exporter.git,5,2690,22, C++,95.4, false,2012-12-31,2022-05-20
kde, ruqola, https://github.com/KDE/ruqola.git,35,10085,24, C++,96.8, false,2016-12-27,2022-05-20
kde, kalzium, https://github.com/KDE/kalzium.git,17,4354,91, C++,91.4, false,2002-12-30,2022-05-20
kde, kinfocenter, https://github.com/KDE/kinfocenter.git,24,2084,92, C++,65.4, false,2007-12-25,2022-05-20
kde, ksystemstats, https://github.com/KDE/ksystemstats.git,1,226,23, C++,92.4, false,2014-03-20,2022-05-19
kde, kcalendarcore, https://github.com/KDE/kcalendarcore.git,5,1317,41, C++,93.9, false,2010-12-12,2022-05-20
kde, kweathercore, https://github.com/KDE/kweathercore.git,0,225,11, C++,95.3, false,2020-12-30,2022-05-14
kde, calendarsupport, https://github.com/KDE/calendarsupport.git,4,704,18, C++,96.9, false,2015-12-30,2022-05-20
kde, telly-skout, https://github.com/KDE/telly-skout.git,0,258,0, C++,78.6, false,2022-05-10,2022-05-10
kde, akonadi-calendar, https://github.com/KDE/akonadi-calendar.git,4,2110,38, C++,98, false,1999-04-11,2022-05-18
kde, plasma-integration, https://github.com/KDE/plasma-integration.git,23,565,61, C++,90.4, false,2013-12-29,2022-05-19
